"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3";".1SMTPIN";1;"D+";;;
2;"R1,R2";"SM0603";2;"12k";;;
3;"C6";"SM0603";1;"1u";;;
4;"C5";"SM0603";1;".1u";;;
5;"C4";"SM0603";1;"10u";;;
6;"C2,C1,C3";"SM0603";3;"5.6p";;;
7;"U1";"QFN32";1;"ESP8285";;;
8;"X1";"XTAL4TINY";1;"26MHz";;;
9;"P8";".1SMTPIN";1;"D-";;;
10;"P6,P7";".1SMTPIN";2;"GND";;;
11;"P4,P5";".1SMTPIN";2;"+5V";;;
12;"P1";".1SMTPIN";1;"UTX";;;
13;"P2";".1SMTPIN";1;"URX";;;
14;"P9";".1SMTPIN";1;"G0";;;
15;"U2";"SOT23-5";1;"1824";;;
16;"A1";"SM1206";1;"ANT";;;
17;"R5,R4";"SM0603";2;"1.5k";;;
18;"P10";".1SMTPIN";1;"ADC";;;
